Date,Views,Unique Visitors
2020-10-22,908,481
2020-10-23,876,475
2020-10-24,653,350
2020-10-25,612,303
2020-10-26,1215,533
2020-10-27,569,306
2020-10-28,309,197
2020-10-29,357,159
2020-10-30,475,227
2020-10-31,596,394
2020-11-01,210,119
2020-11-02,288,150
2020-11-03,279,154
2020-11-04,317,146
2020-11-05,248,115
2020-11-06,146,82
2020-11-07,270,153
2020-11-08,243,150
2020-11-09,161,76
2020-11-10,132,60
2020-11-11,193,120
2020-11-12,127,65
2020-11-13,14,9
2020-11-14,20,12
2020-11-15,154,88
2020-11-16,36,10
2020-11-17,76,52
2020-11-18,67,46
2020-11-19,60,42
2020-11-20,72,41
2020-11-21,60,47
2020-11-22,63,36
2020-11-23,87,48
2020-11-24,56,36
2020-11-25,39,24
2020-11-26,23,17
2020-11-27,132,60
2020-11-28,95,55
2020-11-29,124,59
2020-11-30,93,56
2020-12-01,67,25
2020-12-02,82,43
2020-12-03,62,33
2020-12-04,74,39
2020-12-05,62,38
2020-12-06,90,48
2020-12-07,73,43
2020-12-08,56,30
2020-12-09,46,36
2020-12-10,68,33
2020-12-11,143,39
2020-12-12,46,22
2020-12-13,95,48
2020-12-14,8,6
2020-12-15,94,57
2020-12-16,64,42
2020-12-17,18,13
2020-12-18,55,25
2020-12-19,34,20
2020-12-20,39,19
2020-12-21,25,16
2020-12-22,33,15
2020-12-23,74,38
2020-12-24,12,9
2020-12-25,22,19
2020-12-26,55,40
2020-12-27,41,30
2020-12-28,118,63
2020-12-29,160,83
2020-12-30,169,83
2020-12-31,115,60
2021-01-01,71,44
2021-01-02,246,92
2021-01-03,967,508
2021-01-04,288,167
2021-01-05,97,66
2021-01-06,156,74
2021-01-07,92,57
2021-01-08,101,54
2021-01-09,70,43
2021-01-10,63,35
2021-01-11,49,34
2021-01-12,112,61
2021-01-13,30,15
2021-01-14,64,40
2021-01-15,89,59
2021-01-16,66,38
2021-01-17,3,3
2021-01-18,61,35
2021-01-19,59,35
2021-01-20,33,24
2021-01-21,61,36
2021-01-22,17,11
2021-01-23,16,12
2021-01-24,84,34
2021-01-25,28,21
2021-01-26,48,31
2021-01-27,114,72
2021-01-28,124,72
2021-01-29,51,31
2021-01-30,83,42
2021-01-31,105,54
2021-02-01,88,61
2021-02-02,87,55
2021-02-03,72,50
2021-02-04,71,49
2021-02-05,88,60
2021-02-06,81,60
2021-02-07,94,39
2021-02-08,136,57
2021-02-09,89,35
2021-02-10,82,38
2021-02-11,71,50
2021-02-12,64,36
2021-02-13,94,48
2021-02-14,44,36
2021-02-15,59,36
2021-02-16,83,53
2021-02-17,33,21
2021-02-18,39,33
2021-02-19,188,105
2021-02-20,113,60
2021-02-21,79,45
2021-02-22,51,32
2021-02-23,52,25
2021-02-24,49,27
2021-02-25,39,29
2021-02-26,81,40
2021-02-27,42,28
2021-02-28,24,21
2021-03-01,45,27
2021-03-02,34,27
2021-03-03,106,35
2021-03-04,33,23
2021-03-05,50,25
2021-03-06,44,28
2021-03-07,32,21
2021-03-08,29,18
2021-03-09,15,11
2021-03-10,8,8
2021-03-11,15,14
2021-03-12,79,37
2021-03-13,32,19
2021-03-14,16,13
2021-03-15,36,25
2021-03-16,33,20
2021-03-17,36,21
2021-03-18,24,17
2021-03-19,8,8
2021-03-20,28,15
2021-03-21,26,15
2021-03-22,25,14
2021-03-23,27,20
2021-03-24,20,10
2021-03-25,11,11
2021-03-26,30,23
2021-03-27,92,53
2021-03-28,129,58
2021-03-29,93,68
2021-03-30,114,66
2021-03-31,127,67
2021-04-01,15,6
2021-04-02,120,85
2021-04-03,642,339
2021-04-04,167,112
2021-04-05,78,48
2021-04-06,77,51
2021-04-07,73,47
2021-04-08,55,42
2021-04-09,50,39
2021-04-10,48,30
2021-04-11,42,26
2021-04-12,42,26
2021-04-13,62,39
2021-04-14,3,3
2021-04-15,61,45
2021-04-16,40,32
2021-04-17,30,22
2021-04-18,21,19
2021-04-19,56,27
2021-04-20,23,20
2021-04-21,36,22
2021-04-22,33,23
2021-04-23,5,4
2021-04-24,19,16
2021-04-25,23,19
2021-04-26,8,6
2021-04-27,13,9
2021-04-28,28,23
2021-04-29,11,9
2021-04-30,59,37
2021-05-01,125,65
2021-05-02,53,36
2021-05-03,38,21
2021-05-04,40,30
2021-05-05,39,27
2021-05-06,39,22
2021-05-07,26,15
2021-05-08,28,26
2021-05-09,33,18
2021-05-10,26,18
2021-05-11,12,9
2021-05-12,13,12
2021-05-13,46,26
2021-05-14,35,26
2021-05-15,35,27
2021-05-16,17,9
2021-05-17,20,14
2021-05-18,26,14
2021-05-19,67,40
2021-05-20,13,10
2021-05-21,37,28
2021-05-22,25,20
2021-05-23,21,15
2021-05-24,20,17
2021-05-25,18,14
2021-05-26,30,16
2021-05-27,9,7
2021-05-28,19,14
2021-05-29,74,55
2021-05-30,88,72
2021-05-31,68,50
2021-06-01,24,18
2021-06-02,20,15
2021-06-03,18,14
2021-06-04,13,10
2021-06-05,18,17
2021-06-06,8,8
2021-06-07,13,11
2021-06-08,19,10
2021-06-09,11,8
2021-06-10,8,6
2021-06-11,10,2
2021-06-12,14,10
2021-06-13,19,15
2021-06-14,20,8
2021-06-15,37,24
2021-06-16,9,8
2021-06-17,12,8
2021-06-18,10,8
2021-06-19,26,16
2021-06-20,13,8
2021-06-21,1,1
2021-06-22,12,9
2021-06-23,13,10
2021-06-24,8,8
2021-06-25,7,7
2021-06-26,20,10
2021-06-27,9,7
2021-06-28,6,5
2021-06-29,12,5
2021-06-30,21,16
2021-07-01,6,3
2021-07-02,17,10
2021-07-03,23,19
2021-07-04,46,33
2021-07-05,38,29
2021-07-06,110,66
2021-07-07,70,34
2021-07-08,20,14
2021-07-09,18,12
2021-07-10,21,13
2021-07-11,22,9
2021-07-12,19,15
2021-07-13,11,9
2021-07-14,13,9
2021-07-15,22,19
2021-07-16,12,10
2021-07-17,15,11
2021-07-18,8,5
2021-07-19,26,14
2021-07-20,22,17
2021-07-21,66,32
2021-07-22,15,11
2021-07-23,7,6
2021-07-24,11,8
2021-07-25,19,16
2021-07-26,20,10
2021-07-27,16,14
2021-07-28,8,6
2021-07-29,4,4
2021-07-30,14,11
2021-07-31,17,14
